algorithm_type,bibtex_id,author_1,author_2,author_3,author_4,author_5,author6,author_7,author_8,affiliation_last_author,city_last_author,country_last_author,title,journal,year,link_to_open_source_publication,link_to_pubmed,publication_type,link_to_open_source_code_in_publication,link_to_open_source_code_in_google.com,dataset,n_of_subjects_validation,dice_average,VOE,overlap_location,bibtex_id,source
graph-based,Yin_2010,Yin Y,Zhang  X,Williams  R,Wu  X,Anderson  DD, Sonka M ,,,"Department of Electrical and Computer Engineering, The University of Iowa",Iowa City,USA,"﻿""LOGISMOS—layered optimal graph image segmentation of multiple objects and surfaces: cartilage segmentation in the knee joint","﻿IEEE transactions on medical imaging, vol. 29, pp. 2023-2037",2010,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3131162/pdf/nihms301359.pdf,https://www.ncbi.nlm.nih.gov/pubmed/20643602,journal paper,NaN,NaN,OAI,60,0.84,NaN,global,Yin_2010,Zhang 2018 [40]
graph-based,Bae_2009,Bae ﻿K,Shim  H,Tao  C,Chang  S,Wang  J,Boudreau  R,Kwoh CK,,"Section of Rheumatology, Pittsburgh VA Healthcare System",Pittsburgh,USA,﻿Intra-and inter-observer reproducibility of volume measurement of kneecartilage segmented from the OAI MR image set using a novel semi-automated segmentation method,"﻿Osteoarthritis and Cartilage, vol. 17, pp. 1589-1597",2009,https://core.ac.uk/download/pdf/82500485.pdf,https://www.ncbi.nlm.nih.gov/pubmed/19577672,journal paper,NaN,NaN,OAI,20,NaN,NaN,global,Bae_2009,Zhang 2018 [80]
graph-based,Shim_2009,﻿Shim H, Chang S, Tao C, Wang JH, Kwoh CK, Bae KT,,,"Department of Radiology, University of Pittsburgh School of
Medicine",Pittsburgh,USA,﻿Knee cartilage: Efficient and reproducible segmentation on high-spatial-resolution MR images with the semiautomated graph-cut algorithm method,﻿Radiology 251(2):548–556,2009,https://pubs.rsna.org/doi/pdf/10.1148/radiol.2512081332,https://www.ncbi.nlm.nih.gov/pubmed/19401579,journal paper,NaN,NaN,OAI,10,0.875,NaN,global,Shim_2009,Pedoia 2016 [45]
machine learning,Folkesson_2007,﻿Folkesson J, Dam EB, Olsen OF, Pettersen PC, Christiansen C,,,,"Center for Clinical and Basic
Research",Ballerup,Denmark,﻿Segmenting articular cartilage automatically using a voxel classification approach,﻿IEEE Trans Med Imaging 26(1):106–115,2007,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.488.2760&rep=rep1&type=pdf,https://www.ncbi.nlm.nih.gov/pubmed/17243589,journal paper,NaN,NaN,private,114,0.77,NaN,local,Folkesson_2007,"Pedoia 2016 [49], Zhang 2018 [33,58]"
machine learning,Prasoon_2013,﻿Prasoon A, Igel C, Loog M, Lauze F, Dam EB, Nielsen M,,,Biomediq,Copenhagen,Denmark,Femoral cartilage segmentation in Knee MRI scans using two stage voxel classification,"﻿(EMBC), 35th Annual International Conference of the IEEE, pp 5469–5472",2013,http://www.math.chalmers.se/~rudemo/Papers/folkessonetal.pdf,https://www.ncbi.nlm.nih.gov/pubmed/24110974,conference paper,NaN,NaN,private,114,0.8115,NaN,global,Prasoon_2013,"Pedoia 2016 [50], Zhang 2018 [57]"
machine learning,Liu_2015,Liu Q, Wang Q, Zhang L, Gao Y, Shen D,,,,"Department of Radiology and BRIC, University of North Carolina at Chapel Hill",Chapel Hill,USA,﻿Multi-atlas context forests for knee MR image segmentation,"﻿International Workshop on Machine Learning in Medical Imaging, pp. 186-193",2015,https://www.researchgate.net/profile/Lichi_Zhang/publication/300345554_Multi-atlas_Context_Forests_for_Knee_MR_Image_Segmentation/links/5758355f08aec913749efd9f.pdf,NaN,conference paper,NaN,NaN,SKI10,40,0.81,NaN,global,Liu_2015,Zhang 2018 [62]
machine learning,Zhang_2013,﻿Zhang K, Lu W, Marziliano P,,,,,,"School of Electrical and Electronic Engineering, Nanyang Technological University",Singapore,Singapore,﻿Automatic knee cartilage segmentation from multi-contrast MR images using support vector machine classification with spatial dependencies,﻿Magn Reson Imaging 31(10):1731–1743,2013,NaN,https://www.ncbi.nlm.nih.gov/pubmed/23867282,journal paper,NaN,NaN,private,11,0.864,NaN,global,Zhang_2013,Pedoia 2016 [51]
machine learning,Pang_2015,﻿Pang J, Li P, Qiu M, Chen W, Qiao L,,,,"Department of Computer Science, College of Biomedical Engineering, Third Military Medical University",Chongqing,China,﻿Automatic articular cartilage segmentation based on pattern recognition from knee MRI images,J Digit Imaging. Dec; 28(6): 695–703,2015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4636712/pdf/10278_2015_Article_9780.pdf,https://www.ncbi.nlm.nih.gov/pubmed/25700618,journal paper,NaN,NaN,private,6,0.84,NaN,global,Pang_2015,Pedoia 2016 [53]
deep learning,Prasoon_2013a,﻿Prasoon A, Petersen K, Igel C, Lauze F, Dam E, Nielsen M,,,Biomediq,Copenhagen,Denmark,﻿Deep feature learning for knee cartilage segmentation using a triplanar convolutional neural network,﻿Med Image Comput Comput Assist Interv 16:246–253,2013,https://pdfs.semanticscholar.org/c538/d1b01505c8780de2c40a5e0118c88e3b166a.pdf,https://www.ncbi.nlm.nih.gov/pubmed/24579147,conference paper,NaN,NaN,private,114,0.8249,NaN,global,Prasoon_2013a,"Pedoia 2016 [54], Zhang 2018 [59]"
deep learning,Norman_2018,Norman B, Pedoia V., Majumdar S.,,,,,,Department of Radiology and Biomedical Imaging and Center for Digital Health Innovation (CDHI) University of California,San Francisco,USA,Use of 2D U-Net Convolutional Neural Networks for Automated Cartilage and Meniscus Segmentation of Knee MR Imaging Data to Determine Relaxometry and Morphometry,Radiology. Jul;288(1):177-185,2018,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6013406/pdf/nihms967812.pdf,https://www.ncbi.nlm.nih.gov/pubmed/29584598,journal paper,NaN,NaN,private + OAI,120,0.79,NaN,local,Norman_2018,google scholar
deep learning,Zhou_2018,Zhou Z, Zhao G, Kijowski R, Liu F,,,,,"Department of Radiology, University of Wisconsin School of Medicine and Public Health",Madison,USA,Deep convolutional neural network for segmentation of knee joint anatomy,Magn Reson Med. 2018,2018,https://www.researchgate.net/profile/Fang_Liu67/publication/323998652_Deep_Convolutional_Neural_Network_for_Segmentation_of_Knee_Joint_Anatomy/links/5aff05d04585154aeb03d066/Deep-Convolutional-Neural-Network-for-Segmentation-of-Knee-Joint-Anatomy.pdf,https://www.ncbi.nlm.nih.gov/pubmed/28733975,journal paper,NaN,NaN,private + SKI10,20,0.806,31.7,global,Zhou_2018,google scholar
deep learning,Liu_2018,Liu F, Zhou Z, Jang H, Samsonov A, Zhao G1, Kijowski R1,,,"Department of Radiology, University of Wisconsin School of Medicine and Public Health",Madison,USA,Deep convolutional neural network and 3D deformable approach for tissue segmentation in musculoskeletal magnetic resonance imaging.,Magn Reson Med. Apr;79(4):2379-2391.,2018,https://www.researchgate.net/profile/Fang_Liu67/publication/318638568_Deep_convolutional_neural_network_and_3D_deformable_approach_for_tissue_segmentation_in_musculoskeletal_magnetic_resonance_imaging_Deep_Learning_Approach_for_Segmenting_MR_Image/links/5b9a85fd92851ca9ed044198/Deep-convolutional-neural-network-and-3D-deformable-approach-for-tissue-segmentation-in-musculoskeletal-magnetic-resonance-imaging-Deep-Learning-Approach-for-Segmenting-MR-Image.pdf,https://www.ncbi.nlm.nih.gov/pubmed/28733975,journal paper,NaN,NaN,private + SKI10,40,NaN,28.4,local,Liu_2018,google scholar
hybrid,LeeS_2011,﻿Lee S, Park SH, Shim H, Yun D, Lee S,,,,"Department of Electrical Engineering, Seoul National University",Seoul,Republic of Korea,﻿Optimization of local shape and appearance probabilities for segmentation of knee cartilage in 3-D MR images,﻿Comput Vis Image Underst 115(12):1710–1720,2011,NaN,NaN,journal paper,NaN,NaN,OAI,17,0.83,NaN,global,LeeS_2011,Pedoia 2016 [58]
hybrid,WangZ_2013,﻿Wang Z, Donoghue C, Rueckert D,,,,,,"Department of Computing, Imperial College London ",London,UK,Patch-based segmentation without registration: Application to knee MRI,lecture notes in computer science machine learning in medical. Imaging 8184(2013):98–105,2013,http://www.ski10.org/data/2013-07-22-2015.pdf,NaN,conference paper,NaN,https://github.com/iZehan/spatial-pbs,SKI10,50,NaN,33.4,local,WangZ_2013,"Pedoia 2016 [59], Zhang 2018 [63]"
hybrid,LeeJG_2014,﻿Lee JG, Gumus S, Moon CH, Kwoh CK, Bae KT,,,,"Department of Radiology, University of Pittsburgh",Pittsburgh,USA,﻿Fully automated segmentation of cartilage from the MR images of knee using a multi-atlas and local structural analysis method,﻿Med Phys 41(9):092303,2014,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4149695/pdf/MPHYA6-000041-092303_1.pdf,https://www.ncbi.nlm.nih.gov/pubmed/25186408,journal paper,NaN,NaN,SKI10,50,0.717,28.3,local,LeeJG_2014,Pedoia 2016 [60]
hybrid,WangQ_2013,﻿Wang Q, Wu D, Lu L, Liu M, Boyer KL, Zhou SK,,,Siemens Corporate Research,Princeton,USA,﻿Semantic Context Forests for Learning-Based Knee Cartilage Segmentation in 3D MR Images,"﻿Medical Computer Vision. Large Data in Medical Imaging Lecture Notes in Computer Sci- ence, vol 8331. Springer, Newyork, pp 105–115",2014,https://arxiv.org/pdf/1307.2965.pdf,NaN,conference paper,NaN,NaN,OAI,176,0.8496,NaN,global,WangQ_2013,Pedoia 2016 [61]
hybrid,Ambellan_2018,Ambellan F, Tack A, Ehlke M, Zachow S,,,,,Zuse Institute Berlin and  1000shapes GmbH,Berlin,Germany,Automated Segmentation of Knee Bone and Cartilage combining Statistical Shape Knowledge and Convolutional Neural Networks Data from the Osteoarthritis Initiative,"International conference on
Medical Imaging with Deep Learning",2018,https://openreview.net/pdf?id=SJ_-Nx3jz,NaN,conference paper,NaN,NaN,OAI + SKI10,635,0.91,15.62,local,Ambellan_2018,google scholar
hybrid,Seim_2010,Seim H, Kainmueller D, Lamecker H, Bindernagel M, Malinowski J, Zachow S,,,"Zuse Institute Berlin (ZIB), Medical Planning Group",Berlin,Germany,﻿Model-based auto-segmentation of knee bones and cartilage in MRI data,"﻿Medical Image Analysis for the Clinic: A Grand Challenge, Beijing.",2010,http://diagnijmegen.nl/~bram/grandchallenge2010/215.pdf,NaN,conference paper,NaN,NaN,private,40,NaN,34,global,Seim_2010,Zhang 2018 [73]
hybrid,Dam_2015,Dam ﻿E B, Lillholm M, Marques J, Nielsen M,,,,,Biomediq and University of Copenhagen,Copenhagen,Denmark,Automatic segmentation of high- and low-field knee MRIs using knee image quantification with data from the osteoarthritis initiative,"﻿SPIE  Journal of Medical Imaging, vol. 2, pp. 024001-024001",2015,https://static-curis.ku.dk/portal/files/156028289/Dam_2015_Automatic_segmentation.pdf,https://www.ncbi.nlm.nih.gov/pubmed/26158096,journal paper,NaN,NaN,OAI+SKI10+VirtualScopics+ Chondrometrics,154,0.82,NaN,local,Dam_2015,"Zhang 2018 [56], ski10"
